ID,Culture_code,Culture_code_Arc,Culture_name,Continent,Subsistence_type,Calendar_name,Inclusion_status,Reason_for_exclusion,Sources
AA01,AA01,NA,Korea,Asia,Intensive Agriculturalists,Korean calendar,Included,Not excluded,"Dallet, C. (1874). A history of the church in Korea (Vol. 1; C. A. Messner, Trans.). Victor Palmé. https://ehrafworldcultures.yale.edu/document?id=aa01-049

Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Dix, G. (1987). The New Year's ritual and village social structure. In L. Kendall & G. Dix (Eds.), Religion and ritual in Korean society (pp. 93–117). Institute of East Asian Studies, University of California. https://ehrafworldcultures.yale.edu/document?id=aa01-076

Han, C. C. (1970). Social organization of Upper Han Hamlet in Korea [Doctoral dissertation]. University Microfilms. https://ehrafworldcultures.yale.edu/cultures/aa01/documents/056

Manthe, U. (2004). [Review of the book Antikes chinesisches Kalenderwesen, by R. H. Gassmann]. Early China, 29, 303–321. https://doi.org/10.1017/S0362502800007148

Moose, J. R. (1911). Village life in Korea. M. E. Church. https://ehrafworldcultures.yale.edu/cultures/aa01/documents/004"
AB06,AB06,NA,Ainu,Asia,Hunter-gatherers,Ainu calendar,Included,Not excluded,"Nilsson, M. P. (1920). Primitive time-reckoning: A study in the origins and first development of the art of counting time among the primitive and early culture peoples. C. W. K. Gleerup.

Watanabe, H. (1964). The Ainu: A study of ecology and the system of social solidarity between man and nature in relation to group structure. Journal of the Faculty of Science, University of Tokyo, Section V (Anthropology), 2, 1–164. https://ehrafworldcultures.yale.edu/document?id=ab06-011

Ohnuki-Tierney, E. (1973). Sakhalin Ainu time reckoning. Man, 8(2), 285–299. "
AB43,AB43,NA,Japanese Okayama,Asia,Intensive Agriculturalists,Old Japanese (Okayama) calendar,Excluded,Partially missing data on some calendar units,"Beardsley, R. K., Hall, J. W., & Ward, R. E. (1972). Village Japan. University of Chicago Press. https://ehrafworldcultures.yale.edu/document?id=ab43-001"
AC07,AC07,NA,Okinawans,Asia,Intensive Agriculturalists,Okinawan calendar,Excluded,Fully missing data on our six specific calendar units,"Pitts, F. R., Lebra, W. P., & Suttles, W. P. (1955). Post-war Okinawa (Scientific Investigations in the Ryukyu Islands). National Research Council, Pacific Science Board. https://ehrafworldcultures.yale.edu/document?id=ac07-003"
AD05,AD05,NA,Taiwan Hokkien,Asia,Intensive Agriculturalists,Taiwan Hokkien calendar,Excluded,Fully missing data on our six specific calendar units,"Gallin, B. (1966). Hsin Hsing, Taiwan: A Chinese village in change. University of California Press. https://ehrafworldcultures.yale.edu/document?id=ad05-001"
AE04,AE04,NA,Yi,Asia,Intensive Agriculturalists,Yi calendar,Excluded,Partially missing data on some calendar units,"Graham, D. C. (1930). The Lolo of Szechuan Province, China. American Anthropologist, 32(4), 703-705. https://ehrafworldcultures.yale.edu/document?id=ae04-007 

Lin, Y. (1947). The Lolo of Liang-shan (J. S. Pan, Trans.). Commercial Press. https://ehrafworldcultures.yale.edu/document?id=ae04-001 

Tseng, C., & Yeu, J. M. (1945). The Lolo district in Liang-Shan. In A selection from an account of investigation trip to Liang-Shan (pp. 1-53). https://ehrafworldcultures.yale.edu/document?id=ae04-006"
AE05,AE05,NA,Miao,Asia,Intensive Agriculturalists,Miao calendar,Excluded,Fully missing data on our six specific calendar units,"Wu, C.-L., Ch'en, K.-C., et al. (1942). Studies of Miao-I societies in Kweichow (L.-E. Tsao, Trans.). Wen-t'ung Book Co. https://ehrafworldcultures.yale.edu/document?id=ae05-012

Graham, D. C. (1937). The customs of the Ch'uan Miao. Journal of the West China Border Research Society, 9, 13–70. https://ehrafworldcultures.yale.edu/document?id=ae05-008"
AE15,AE15,NA,Chinese (Qing dynasty),Asia,Intensive Agriculturalists,Chinese (Chongzhen) calendar,Included,Not excluded,"Chinese calendar. (2025, December 10). In Wikipedia. https://en.wikipedia.org/wiki/Chinese_calendar

Chongzhen calendar. (2025, December 10). In Wikipedia. https://en.wikipedia.org/wiki/Chongzhen_calendar

Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Fei, H. (1946). Peasant life in China: A field study of country life in the Yangtze Valley. Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=ae15-014"
AH01_A,AH01,NA,Mongolia,Asia,Pastoralists,Mongolian lunisolar calendar,Included,Not excluded,"Atwood, C. P. (2002). Young Mongols and vigilantes in Inner Mongolia's interregnum decades, 1911–1931 (Vol. 2). Brill. https://doi.org/10.1163/9789004531291

Maiskii, I. M. (1921). Contemporary Mongolia (Mrs. Dayton & J. Kunitz, Trans.). Gosudarstvennoe izdatel'stvo, Irkutskoe otdelenie. https://ehrafworldcultures.yale.edu/document?id=ah01-014

Mongolian calendar. (2026, March 20). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Mongolian_calendar&oldid=1360710355

Vreeland, H. H. (1973). Mongol community and kinship structure. Greenwood Press. https://ehrafworldcultures.yale.edu/document?id=ah01-016"
AH01_B,AH01,NA,Mongolia,Asia,Pastoralists,Mongolian solar calendar,Excluded,Fully missing data on our six specific calendar units,"Atwood, C. P. (2002). Young Mongols and vigilantes in Inner Mongolia's interregnum decades, 1911-1931 (Vol. 2). Brill. https://doi.org/10.1163/9789004531291"
AH06,AH06,NA,Inner Mongolia,Asia,Agro-Pastoralists,Inner Mongolia calendar,Excluded,Fully missing data on our six specific calendar units,"Far Eastern and Russian Institute, University of Washington. (1956). A regional handbook of the Inner Mongolia Autonomous Region (HRAF Subcontractor's Monograph). Human Relations Area Files. https://ehrafworldcultures.yale.edu/document?id=ah06-001"
AI01,AI01,NA,Xinjiang Uygur Autonomous Region,Asia,Intensive Agriculturalists,Xinjiang Uygur calendar,Excluded,Fully missing data on our six specific calendar units,"Rahman, A. (2005). Sinicization beyond the Great Wall: China's Xinjiang Uighur Autonomous Region. Matador. https://ehrafworldcultures.yale.edu/document?id=ai01-007"
AJ01,AJ01,NA,Tibetans,Asia,Intensive Agriculturalists,Tibetan (Phuglugs version of Kālacakra) calendar,Included,Not excluded,"Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Henning, E. (2007). Kālacakra and the Tibetan calendar. American Institute of Buddhist Studies.

Rockhill, W. W. (1895). Notes on the ethnology of Tibet. In Report of the U.S. National Museum for 1893 (pp. 665–747). Smithsonian Institution. https://ehrafworldcultures.yale.edu/document?id=aj01-011

Shên, T.-L., Liu, S.-C., & Taylor, G. E. (1953). Tibet and the Tibetans. Stanford University Press. https://ehrafworldcultures.yale.edu/document?id=aj01-001"
AK05,AK05,NA,Lepcha,Asia,Intensive Agriculturalists,Lepcha calendar,Included,Not excluded,"Gorer, G., & Hutton, J. H. (1938). Himalayan village: An account of the Lepchas of Sikkim. Michael Joseph. https://ehrafworldcultures.yale.edu/document?id=ak05-001

Morris, J. (1938). Living with Lepchas: A book about the Sikkim Himalayas. William Heinemann. https://ehrafworldcultures.yale.edu/document?id=ak05-002

Siiger, H. (1967). The Lepchas: Culture and religion of a Himalayan people, part 1 (Nationalmuseets skrifter, Etnografisk række, Vol. 11). National Museum of Denmark. https://ehrafworldcultures.yale.edu/document?id=ak05-013"
AK06,AK06,NA,Sherpa,Asia,Agro-Pastoralists,Sherpa calendar,Excluded,Fully missing data on our six specific calendar units,"Stevens, S. F. (1990). Sherpa settlement and subsistence: Cultural ecology and history in highland Nepal [Doctoral dissertation]. University Microfilms International. https://ehrafworldcultures.yale.edu/document?id=ak06-013"
AM04,AM04,NA,Cambodians,Asia,Intensive Agriculturalists,Khmer calendar,Included,Not excluded,"Aymonier, E. (1953). Cambodia: Vol. 1. The modern kingdom (M. Thompson, Trans.). Human Relations Area Files. https://ehrafworldcultures.yale.edu/document?id=am04-147

Eade, J. C. (1995). The calendrical systems of mainland South-East Asia. Brill.

Leclère, A. (1956). The Buddhism of Cambodia (R. von Scheliha, Trans.). Human Relations Area Files. https://ehrafworldcultures.yale.edu/cultures/am04/documents/148

Martini, F. (1953). The Cambodian bonze (A. Szogyi, Trans.). France-Asie, 4, 881–888. https://ehrafworldcultures.yale.edu/document?id=am04-141

Porée, G., & Porée-Maspero, E. (1952). Traditions and customs of the Khmer (K. Botsford, Trans.; Collection de documents et de témoignages pour servir à l'histoire de notre temps). Human Relations Area Files. https://ehrafworldcultures.yale.edu/document?id=am04-083"
AM11,AM11,NA,Vietnamese,Asia,Intensive Agriculturalists,Vietnamese calendar,Excluded,Partially missing data on some calendar units,"Dumont, R. (1935). Rice growing in the Tonkin delta (C. A. Messner, Trans.). Societe d'Editions Geographiques, Maritimes et Coloniales. https://ehrafworldcultures.yale.edu/document?id=am11-107 

Gourou, P. (1936). The peasants of the Tonkin delta: A study in human geography (R. R. Miller, Trans.). Les Editions d'Art et d'Histoire. https://ehrafworldcultures.yale.edu/cultures/am11/documents/001 

Huard, P., & Durand, M. (n.d.). Viet-Nam, civilization and culture. Imprimerie Nationale; Ecole Francaise d'Extreme-Orient. https://ehrafworldcultures.yale.edu/document?id=am11-179 

Luro, E. (1878). The country of Annam: A study of the political and social organisation of the Annamese (C. A. Lopez, Trans.). Ernest Leroux. https://ehrafworldcultures.yale.edu/document?id=am11-065"
AM28,AM28,NA,Rmeet,Asia,Horticulturalists,Rmeet calendar,Excluded,Partially missing data on some calendar units,"Izikowitz, K. G. (1951). Lamet: Hill peasants in French Indochina (Etnologiska Studier). Etnografiska Museet. https://ehrafworldcultures.yale.edu/cultures/am28/documents/001 

Izikowitz, K. G. (1985). Fastening the soul: Some religious traits among the Lamet (French Indochina). In Compass for fields afar: Essays in social anthropology (pp. 212-257). Acta Universitatis Gothoburgensis. https://ehrafworldcultures.yale.edu/cultures/am28/documents/004"
AN05,AN05,NA,Malays,Asia,Intensive Agriculturalists,Malay calendar,Excluded,Fully missing data on our six specific calendar units,"Wilkinson, R. J. (1920). Life and customs: The incidents of Malay life (Papers on Malay Subjects). Kelly and Walsh. https://ehrafworldcultures.yale.edu/document?id=an05-018 

Wilkinson, R. J. (1925). Life and customs: Malay amusements (Papers on Malay Subjects). F.M.S. Government Press. https://ehrafworldcultures.yale.edu/document?id=an05-020 

Winstedt, R. (1961). The Malay magician: Being shaman, Saiva and Sufi. Routledge and Kegan Paul. https://ehrafworldcultures.yale.edu/document?id=an05-137"
AN06,AN06,NA,Semai,Asia,Horticulturalists,Semai calendar,Excluded,Fully missing data on our six specific calendar units,"Dentan, R. K. (1988). Some Senoi Semai dietary restrictions: A study of food behavior in a Malay hill tribe [Doctoral dissertation]. University Microfilms International. https://ehrafworldcultures.yale.edu/document?id=an06-007"
AO07_A,AO07,NA,Central Thai,Asia,Intensive Agriculturalists,Central Thai calendar,Included,Not excluded,"Eade, J. C. (1995). The calendrical systems of mainland South-East Asia. Brill.

Sharp, L., & Hanks, L. M. (1978). Bang Chan: Social history of a rural community in Thailand (Cornell Studies in Anthropology). Cornell University Press. https://ehrafworldcultures.yale.edu/document?id=ao07-008

Terwiel, B. J. (1975). Monks and magic: An analysis of religious ceremonies in central Thailand (Scandinavian Institute of Asian Studies Monograph Series No. 24). Studentlitteratur; Curzon Press. https://ehrafworldcultures.yale.edu/document?id=ao07-019"
AO07_B,AO07,NA,Thai,Asia,Intensive Agriculturalists,Thai solar calendar,Included,Not excluded,"List of calendars. (2025, August 21). In Wikipedia. https://en.wikipedia.org/wiki/List_of_calendars

Thai solar calendar. (2025, August 21). In Wikipedia. https://en.wikipedia.org/wiki/Thai_solar_calendar

Quaritch Wales, H. G. (1931). Siamese state ceremonies: Their history and function. Bernard Quaritch."
AP04_A,AP04,NA,Burmese,Asia,Intensive Agriculturalists,Burmese calendar,Included,Not excluded,"Ferrars, M., & Ferrars, B. (1901). Burma. Sampson Low, Marston. https://ehrafworldcultures.yale.edu/document?id=ap04-025

Gislén, L., & Eade, J. C. (2019). The calendars of Southeast Asia. 2: Burma, Thailand, Laos and Cambodia. Journal of Astronomical History and Heritage, 22(3), 417–430.

Scott, J. G. (1910). The Burman: His life and notions. Macmillan. https://ehrafworldcultures.yale.edu/document?id=ap04-002"
AP04_B,AP04,NA,Burmans,Asia,Intensive Agriculturalists,Burmese (Chula Sakarat) calendar,Excluded,Partially missing data on some calendar units,"Chula Sakarat. (2025, August 21). In Wikipedia. https://en.wikipedia.org/wiki/Chula_Sakarat"
AP06,AP06,NA,Kachin,Asia,Horticulturalists,Kachin calendar,Included,Not excluded,"Hanson, O. (1913). The Kachins: Their customs and traditions. American Baptist Mission Press.

Wang, Z. (1997). The Jingpo: Kachin of the Yunnan Plateau (Program for Southeast Asian Studies Monograph Series). Program for Southeast Asian Studies, Arizona State University. https://ehrafworldcultures.yale.edu/document?id=ap06-032"
AP07,AP07,NA,Karen,Asia,Other Subsistence Combinations,Karen calendar,Included,Not excluded,"Marshall, H. I. (1922). The Karen people of Burma: A study in anthropology and ethnology (Ohio State University Bulletin, Vol. 26, No. 13). Ohio State University Press. https://ehrafworldcultures.yale.edu/document?id=ap07-019

Rajah, A. (2008). Remaining Karen: A study of cultural reproduction and the maintenance of identity. ANU E Press. https://ehrafworldcultures.yale.edu/document?id=ap07-032"
AR05,AR05,NA,Garo,Asia,Horticulturalists,Garo calendar,Excluded,Partially missing data on some calendar units,"Burling, R. (1963). Rengsanggri: Family and kinship in a Garo village. University of Pennsylvania Press. https://ehrafworldcultures.yale.edu/document?id=ar05-001 

Rongmuthu, D. S. (1960). The folk-tales of the Garos (Publication No. 4). University of Gauhati, Department of Publications. https://ehrafworldcultures.yale.edu/document?id=ar05-009 

Sangma, V. S. B. (1995). Garo folk literature. In Hill societies, their modernisation: A study of north east with special reference to Garo Hills (pp. 156-164). Omsons Publications. https://ehrafworldcultures.yale.edu/document?id=ar05-033"
AR07,AR07,NA,Khasi,Asia,Agro-Pastoralists,Khasi calendar,Excluded,Partially missing data on some calendar units,"Banerjee, S. (1962). The Khasi festival of 'Pomblang.' In Bulletin (No. 1, pp. 53-59). https://ehrafworldcultures.yale.edu/document?id=ar07-017 

Gurdon, P. R. T. (1907). The Khasis. David Nutt. https://ehrafworldcultures.yale.edu/document?id=ar07-001"
AR20,AR20,NA,Mara,Asia,Horticulturalists,Mara calendar,Excluded,Partially missing data on some calendar units,"Parry, N. E. (1932). The Lakhers (J. H. Hutton, Ed.). Macmillan. https://ehrafworldcultures.yale.edu/cultures/ar20/documents/001"
AT03,AT03,NA,West Punjabi,Asia,Intensive Agriculturalists,West Punjabi calendar,Excluded,Fully missing data on our six specific calendar units,"Eglar, Z. S. (1960). A Punjabi village in Pakistan. Columbia University Press. https://ehrafworldcultures.yale.edu/cultures/at03/documents/007"
AU04,AU04,NA,Pashtun,Asia,Intensive Agriculturalists,Pashtun calendar,Excluded,Partially missing data on some calendar units,"Ahmed, A. S. (1980). Pukhtun economy and society: Traditional structure and economic development in a tribal society (International Library of Anthropology). Routledge & Kegan Paul. https://ehrafworldcultures.yale.edu/document?id=au04-001"
AV04,AV04,NA,Kashmiri,Asia,Commercial Economy,Kashmiri calendar,Excluded,Fully missing data on our six specific calendar units,"Lawrence, W. R. (1895). The valley of Kashmir. Oxford University Press. https://ehrafworldcultures.yale.edu/cultures/av04/documents/001"
AV07,AV07,NA,Burusho,Asia,Intensive Agriculturalists,Burusho calendar,Excluded,Partially missing data on some calendar units,"Lorimer, D. L. R. (1935). The Burushaski language: Vol. 2. Texts and translations (Instituttet for Sammenlignende Kulturforskning, Serie B: Skrifter). H. Aschehoug; Harvard University Press. https://ehrafworldcultures.yale.edu/document?id=av07-004"
AW11,AW11,NA,Kerala,Asia,Intensive Agriculturalists,Kerala (Kollam) calendar,Excluded,Fully missing data on our six specific calendar units,"Parpola, M. (2000). Kerala Brahmins in transition: A study of a Namputiri family (Studia Orientalia). Finnish Oriental Society. https://ehrafworldcultures.yale.edu/cultures/aw11/documents/015"
AW16,AW16,NA,Tamil,Asia,Intensive Agriculturalists,Tamil calendar,Included,Not excluded,"Beck, B. E. F. (1972). Peasant society in Konku: A study of right and left subcastes in south India. University of British Columbia Press. https://ehrafworldcultures.yale.edu/document?id=aw16-011

Chatterjee, S. K. (1998). Indian calendric system. Publications Division, Ministry of Information and Broadcasting, Government of India.

Nambiar, P. K., & Murari, P. (1964). Vilpatti (Census of India 1961, Vol. 9, Pt. 5). Manager of Publications. https://ehrafworldcultures.yale.edu/document?id=aw16-015"
AW17,AW17,NA,Telugu,Asia,Intensive Agriculturalists,Telugu lunar calendar,Excluded,Partially missing data on some calendar units,"Dube, S. C. (1955). Indian village. Cornell University Press. https://ehrafworldcultures.yale.edu/document?id=aw17-001 

Tapper, B. E. (1987). Rivalry and tribute: Society and ritual in a Telegu village in South India (Studies in Sociology and Social Anthropology). Hindustan Publishing. https://ehrafworldcultures.yale.edu/document?id=aw17-002"
AW25,AW25,NA,Bhil,Asia,Agro-Pastoralists,Bhil calendar,Excluded,Partially missing data on some calendar units,"Naik, T. B. (1956). The Bhils: A study. Bharatiya Adimjati Sevak Sangh. https://ehrafworldcultures.yale.edu/document?id=aw25-004"
AW32,AW32,NA,Gond,Asia,Other Subsistence Combinations,Gond calendar,Excluded,Partially missing data on some calendar units,"Grigson, W. V. (1949). The Maria Gonds of Bastar (2nd ed.). Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=aw32-001"
